Store,Weekly_Sales
20,301401381.45
4,299545269.3
14,289001864.44
13,286517950.36
2,275387155.5
10,271624109.39
27,253857189.97
6,223758588.34
1,222406766.77
39,207446494.23
19,206637687.81
31,199614930.36
23,198752745.4
24,194016596.61
11,193964391.99
28,189271508.03
41,181342855.86
32,166820776.17
18,155115837.53
22,147076770.93
12,144291146.56
26,143416619.82
34,138252627.2
40,137871636.15
35,131529989.11
8,129951509.67
17,127783189.52
45,112397320.34
21,108119559.57
25,101061843.39
43,90566533.0
15,89134868.26
7,81599495.81
42,79568043.68
9,77791165.32
29,77142826.53
16,74256735.1
37,74202860.54
30,62717012.33
3,57587925.87
38,55159900.7
36,53413353.1
5,45476119.71
44,43293671.55
33,37160325.4
